2025-10-08T18:18:59+02:00 | callback.php | oauth_error=unauthorized_client | description=Client with id ceaca19ac9454fcca421f31673cf6eff does not have the privilege to generate an authorization code
2025-10-08T18:39:12+02:00 | callback.php | session_id=qdtlkkclb6nsevrrju7v9od44f | incoming_state=(none) | stored_state=(none)
2025-10-08T18:39:12+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:39:18+02:00 | callback.php | session_id=nbkulajuu1v2dvv32ngqdcti3j | incoming_state=(none) | stored_state=(none)
2025-10-08T18:39:18+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:39:31+02:00 | callback.php | session_id=7aa8a95a9b6puecas9ohrgiusf | incoming_state=(none) | stored_state=(none)
2025-10-08T18:39:31+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:39:55+02:00 | callback.php | session_id=lsdtc0sa4fg1ic2jv5esj5am1t | incoming_state=(none) | stored_state=(none)
2025-10-08T18:39:55+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:40:43+02:00 | callback.php | session_id=hl3fhrbi341aunectnqkfhu38p | incoming_state=(none) | stored_state=(none)
2025-10-08T18:40:43+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:42:19+02:00 | callback.php | session_id=rkb5jfsb452egju6k8ku4cdug2 | incoming_state=(none) | stored_state=(none)
2025-10-08T18:42:19+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:43:08+02:00 | callback.php | session_id=bfkucqi3qdtdgt9cifmj15hnvf | incoming_state=(none) | stored_state=(none)
2025-10-08T18:43:08+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:43:14+02:00 | callback.php | session_id=ms2ogid901mjr7io7oafsa0obv | incoming_state=(none) | stored_state=(none)
2025-10-08T18:43:14+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:43:27+02:00 | callback.php | session_id=iaatqmlcjhbsgrmi9emie0vn7d | incoming_state=(none) | stored_state=(none)
2025-10-08T18:43:27+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:43:51+02:00 | callback.php | session_id=hhh388etg6qpa8j3pq4pgpb4sd | incoming_state=(none) | stored_state=(none)
2025-10-08T18:43:51+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:44:39+02:00 | callback.php | session_id=j41q7dh1hsltj5a7pav3s8q3o5 | incoming_state=(none) | stored_state=(none)
2025-10-08T18:44:39+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:45:31+02:00 | callback.php | session_id=roha91h4jmjs9j3kac61gjdbeu | incoming_state=(none) | stored_state=(none)
2025-10-08T18:45:31+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:46:15+02:00 | callback.php | session_id=250s9728h08mevkgibthcdoi5d | incoming_state=(none) | stored_state=(none)
2025-10-08T18:46:15+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:49:27+02:00 | callback.php | session_id=kilfs454equalng5997kqjpjh3 | incoming_state=(none) | stored_state=(none)
2025-10-08T18:49:27+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:51:56+02:00 | callback.php | session_id=lodgabdm4g3mbsjg960m1od3o1 | incoming_state=(none) | stored_state=(none)
2025-10-08T18:51:56+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T18:55:52+02:00 | callback.php | session_id=8sa47kh4kiq9e5v2mfl53k5snb | incoming_state=(none) | stored_state=(none)
2025-10-08T18:55:52+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T19:04:45+02:00 | callback.php | session_id=33djo5efshd4gpr5q37umq600j | incoming_state=(none) | stored_state=(none)
2025-10-08T19:04:45+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T19:08:40+02:00 | callback.php | session_id=bt8hqcpqkp7r0ufb7dbug1751e | incoming_state=(none) | stored_state=(none)
2025-10-08T19:08:40+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T19:28:05+02:00 | callback.php | session_id=ojr02vg3nar789ud4b6e9fn6sf | incoming_state=(none) | stored_state=(none)
2025-10-08T19:28:05+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T19:28:06+02:00 | callback.php | session_id=c9ledqnuqaltk9o71tiufo20bb | incoming_state=(none) | stored_state=(none)
2025-10-08T19:28:06+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T19:30:22+02:00 | callback.php | session_id=61s28jljrm3p7p5gmh8al98cpc | incoming_state=(none) | stored_state=(none)
2025-10-08T19:30:22+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T19:34:17+02:00 | callback.php | session_id=v4kukc02cfke75vqcfmcp497lr | incoming_state=(none) | stored_state=(none)
2025-10-08T19:34:17+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
